model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
GBM_grid_1_AutoML_1_20250925_21729_model_11,0.8878470429958049,0.6511514507797036,0.5364722050334877,0.4892804840760231,0.3978610009793551,0.1582933761002944,1372,0.01627,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_26,0.887821680202952,0.657973253512287,0.4780276660037416,0.4891533497481453,0.3873938015019991,0.1500739574421702,665,0.016052,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_23,0.8875777311393744,0.6630006919969745,0.4841492826341149,0.4948566922544617,0.3887128052776118,0.1510976449867905,864,0.014648,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_13,0.8870113375584905,0.6482595471443054,0.4761712210774375,0.4944237918215613,0.3875905785207781,0.1502264565580715,692,0.013283,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_18,0.8866838315995024,0.652556365567518,0.4699821717644198,0.4934308566278826,0.3854408434841344,0.1485646438257609,522,0.010993,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_2,0.8866170822915529,0.6578348541173821,0.5116972293372556,0.5,0.3934054489348115,0.1547678472516005,1541,0.013981,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_26,0.8865556765092658,0.6479827483544957,0.4804734986586658,0.4962825278810409,0.3912632209883453,0.1530869080981747,846,0.00665,XGBoost
XGBoost_grid_1_AutoML_1_20250925_21729_model_42,0.8861330608737081,0.6507813128630973,0.5388567844583777,0.4981412639405205,0.4228819446145158,0.1788291390809544,2422,0.009092,XGBoost
GBM_5_AutoML_1_20250925_21729,0.8858663524990613,0.6549542155490111,0.4673780226729579,0.4868617132557653,0.3844408471601819,0.1477947649652383,631,0.012362,GBM
GBM_grid_1_AutoML_1_20250925_21729_model_12,0.8856675155239234,0.6529586893899161,0.4699907195333989,0.4750221278102319,0.3849374843713558,0.1481768668741478,786,0.011769,GBM
XGBoost_grid_1_AutoML_1_20250925_21729_model_41,0.8852339210352657,0.6462189607171019,0.5936312417970296,0.4934308566278826,0.4514744264025254,0.2038291576954893,1258,0.0068,XGBoost
