model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
XGBoost_grid_1_AutoML_1_20250925_84535_model_1,0.8946898345210266,0.7232268419678092,0.4835834354722841,0.4676926415976104,0.3963801184915964,0.157117198335412,101157,0.000977,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_5,0.8946818238104202,0.7232027509970551,0.484234612870815,0.4697758606098342,0.3967409259980245,0.1574033623617699,66131,0.003487,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_8,0.894609805549771,0.7224649499222031,0.4825633101303129,0.469344149663488,0.3959287696294405,0.1567595906202826,66312,0.001744,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_31,0.8945627068544476,0.7229566487823654,0.5944284472403247,0.4656832840522721,0.452584323851142,0.2048325701957954,81372,0.00075,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_5,0.8945585972565864,0.723259420539638,0.4833985005859879,0.4682050506602132,0.3962824761913424,0.1570398009363418,36246,0.000856,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_23,0.89455119965447,0.7223289400599646,0.4828569018753068,0.4769154264744569,0.3960795920779679,0.1568790432606494,61311,0.001628,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_2,0.8945360001461149,0.7228516684740127,0.4830206167408572,0.471001604351785,0.3961930884526981,0.1569689633376874,94345,0.001195,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_12,0.8944704980017081,0.7227786012844389,0.4842130787270265,0.468723555181033,0.3969047247610965,0.1575333605376817,59889,0.003171,GBM
GBM_grid_1_AutoML_1_20250925_84535_model_1,0.8944541609954147,0.7225783843401019,0.4847634376043276,0.472229494678373,0.397153579621664,0.1577309658063014,47004,0.00313,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_28,0.8944521934104006,0.722808636167717,0.4835482027762435,0.4708928154590564,0.39637057985189,0.1571096365721235,31851,0.000879,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_29,0.8944516183705592,0.7224312316656167,0.5920225872137987,0.4702449128735295,0.4513483986733181,0.2037153769849685,119903,0.000808,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_6,0.8944351736469829,0.7230286782904268,0.4841114408841192,0.4716547508629901,0.3968402594238036,0.1574821914995517,53901,0.003084,GBM
GBM_grid_1_AutoML_1_20250925_84535_model_21,0.8944286538407936,0.7228870181571582,0.4843020144946096,0.4722619778479842,0.39696535779586,0.1575814952899951,26782,0.004346,GBM
GBM_grid_1_AutoML_1_20250925_84535_model_19,0.89442482307756,0.7227581986898769,0.4847149887296554,0.4702714494207211,0.3971289417651898,0.1577113963875395,36220,0.003146,GBM
GBM_4_AutoML_1_20250925_84535,0.8943893709439079,0.7226440517779221,0.4852593215086248,0.4719938704482406,0.3970724719638339,0.1576665479914696,85584,0.00401,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_18,0.8943886102879441,0.7225907655745796,0.4835118668015808,0.4689369471507677,0.3963235216348753,0.1570723338010694,36020,0.001404,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_23,0.8943739164033869,0.7228116630514758,0.4843878898104938,0.4722616416819765,0.3967441301230898,0.1574059047871271,66252,0.003887,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_6,0.8943252601114671,0.7224560278345543,0.4838528857426996,0.4716150645132739,0.3965022525340348,0.1572140362645635,30248,0.000976,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_15,0.8941453197954556,0.7215752630972269,0.5889439711897827,0.4739069854304982,0.450196742292457,0.2026771067707408,149880,0.00234,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_7,0.8940656318986743,0.7208397712702248,0.4833765067642829,0.4774427268990748,0.3962820978356949,0.1570395010650592,83769,0.002089,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_14,0.8939146385964948,0.7214956868082116,0.5937615892540155,0.4691827726781811,0.4524030215568215,0.2046684939137419,51248,0.001324,XGBoost
XGBoost_grid_1_AutoML_1_20250925_84535_model_9,0.8938133910605943,0.7207387551220419,0.483896642510707,0.4739829742348145,0.3963768791547674,0.157114630328473,51722,0.001479,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_20,0.8937415781099163,0.7213478522128504,0.4860361544916328,0.4761960763135504,0.3976955621762982,0.1581617601747218,26180,0.0046,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_30,0.893620672464575,0.7208202189574808,0.4844806121545223,0.4701642147572729,0.3966341566394812,0.1573186542131125,54374,0.001664,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_8,0.893519333830666,0.7207772947690659,0.4863824251352739,0.4696655286053449,0.397752781250618,0.1582072749926019,69962,0.002733,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_4,0.8934489817783302,0.7200313754727377,0.4846552829143396,0.4835755018359607,0.3967349208067698,0.1573985973875539,48162,0.001586,XGBoost
GLM_1_AutoML_1_20250925_84535,0.8933760122626793,0.7208158053715694,0.4851855249224479,0.4693321379475775,0.3971168725605994,0.1577018104723114,17657,0.001327,GLM
XGBoost_grid_1_AutoML_1_20250925_84535_model_13,0.8930020464799663,0.7190727650968192,0.4849052296861333,0.4789573168013389,0.396808949215393,0.1574573421774243,52422,0.001537,XGBoost
DeepLearning_grid_3_AutoML_1_20250925_84535_model_1,0.892887989717076,0.7201172692229453,0.4825875221912816,0.4815227874917149,0.3953283260657871,0.1562844853899773,41513,0.001715,DeepLearning
GBM_grid_1_AutoML_1_20250925_84535_model_2,0.8928272005932816,0.7197321615997676,0.4870326554329489,0.4768745827909203,0.3979267510121478,0.1583456991710839,68329,0.004066,GBM
XGBoost_grid_1_AutoML_1_20250925_84535_model_11,0.8928155143885548,0.7191063366716275,0.5918167718960636,0.475313103358835,0.4517245002715018,0.204055024145538,131099,0.00171,XGBoost
GBM_grid_1_AutoML_1_20250925_84535_model_7,0.8927432584184225,0.7188334861904767,0.4885911098117101,0.4743408733262076,0.3986151836194159,0.1588940646119407,52417,0.003339,GBM
GBM_1_AutoML_1_20250925_84535,0.892560308968066,0.7186742921302001,0.4887609925971511,0.4701556557956174,0.3983133458427331,0.1586535214764327,108864,0.003823,GBM
DeepLearning_1_AutoML_1_20250925_84535,0.8925091213497772,0.71898797274541,0.4794060677560037,0.472376209114121,0.3945497403728389,0.1556694976282746,40835,0.001358,DeepLearning
GBM_grid_1_AutoML_1_20250925_84535_model_10,0.8921443438307373,0.7179880921206137,0.489167300578767,0.4735785025324013,0.3986526135870189,0.158923906319761,65342,0.004181,GBM
DeepLearning_grid_1_AutoML_1_20250925_84535_model_1,0.8920876881503645,0.718944873595026,0.4920848334405909,0.4746171842743928,0.3984213856467596,0.158739600540684,55540,0.00169,DeepLearning
DeepLearning_grid_2_AutoML_1_20250925_84535_model_1,0.8919621468906573,0.7206579319336864,0.4831505926073563,0.4778115299844905,0.3954755928503126,0.1564009445403062,46087,0.001576,DeepLearning
