column,in_accepted,accepted_missing,accepted_total,accepted_missing_pct,in_thesis,thesis_missing,thesis_total,thesis_missing_pct,delta_missing_pct
funded_amnt,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
funded_amnt_inv,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
grade,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
hardship_amount,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_dpd,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_end_date,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_flag,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
hardship_last_payment_amount,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_length,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_loan_status,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_payoff_balance_amount,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_reason,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_start_date,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_status,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
hardship_type,True,2249784,2260701,0.9951709668815115,True,2094857,2104542,0.9953980486015485,0.00022708172003693683
home_ownership,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
id,True,0,2260701,0.0,True,0,2104542,0.0,0.0
il_util,True,1068883,2260701,0.47281042473109003,True,1048327,2104542,0.498125958046929,0.025315533315838967
initial_list_status,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
inq_fi,True,866162,2260701,0.3831386813205285,True,866158,2104542,0.4115660319442425,0.028427350623714043
inq_last_12m,True,866163,2260701,0.3831391236612007,True,866159,2104542,0.4115665071070095,0.028427383445808807
inq_last_6mths,True,63,2260701,2.7867462349067834e-05,True,59,2104542,2.8034603253344433e-05,1.6714090427659924e-07
installment,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
int_rate,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
issue_d,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
last_credit_pull_d,True,105,2260701,4.644577058177972e-05,True,95,2104542,4.51404628655546e-05,-1.3053077162251224e-06
last_fico_range_high,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
last_fico_range_low,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
last_pymnt_amnt,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
last_pymnt_d,True,2460,2260701,0.0010881580536302679,True,2258,2104542,0.0010729175278991819,-1.5240525731085967e-05
loan_amnt,True,33,2260701,1.4597242182845055e-05,True,29,2104542,1.3779720243169298e-05,-8.175219396757572e-07
